Country-Region-City,Latitude,Longitude
"NETHERLANDS,ZUID HOLLAND,DORDRECHT",51.81,4.67
"NETHERLANDS,ZUID HOLLAND,GOUDA",52.01667,4.71667
"NETHERLANDS,ZUID HOLLAND,ROTTERDAM",51.95,4.41667
"NEW ZEALAND,AUCKLAND,_",-36.85,174.78333
"NEW ZEALAND,BAY OF PLENTY,_",-38.2,176.9
"NEW ZEALAND,CANTERBURY,_",-43.6,172.0
"NEW ZEALAND,GISBORNE,_",-38.6625,178.01778
"NEW ZEALAND,HAWKES BAY,_",-39.41667,176.81667
"NEW ZEALAND,LAKES,_",-38.694228,176.075104
"NEW ZEALAND,MANAWATU,_",-37.6337,175.7667
"NEW ZEALAND,NORTHLAND,_",-35.58,173.97
"NEW ZEALAND,SOUTHERN,_",-36.842378,174.763521
"NEW ZEALAND,TARANAKI,_",-39.3,174.13333
"NEW ZEALAND,WAIKATO,_",-37.5,175.33333
"NEW ZEALAND,WAIRAPAPA,_",-41.83887522,171.7799002
"NEW ZEALAND,WELLINGTON,_",-41.28889,174.77722
"NIGER,COMMUNAUTE URBAINE DE NIAMEY,NIAMEY",13.52,2.109
"NIGERIA,CENTRAL,ABUJA",9.05,7.5
"NIGERIA,NORTHWEST,KANO",11.5,8.5
"NIGERIA,_,_",9.593959887,8.10530641
